ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
346,Vila,0,IT,1562532664,69,45.18,8.4,26.67,2.1
347,Puerto Baquerizo Moreno,40,EC,1562532664,78,-0.9,-89.6,25,6.7
348,Wabana,20,CA,1562532665,60,47.63,-52.95,24,7.2
349,Troina,0,IT,1562532665,61,37.79,14.6,28.89,1.5
350,Mutare,0,MZ,1562532675,25,-18.97,32.67,10.81,1.3
351,Chitral,0,PK,1562532675,52,35.85,71.79,7.07,3.99
352,Iqaluit,75,CA,1562532675,48,63.75,-68.52,17,2.1
353,Muyezerskiy,100,RU,1562532676,81,63.93,31.65,9.52,6.23
354,Alberton,0,ZA,1562532676,43,-26.25,28.13,12.22,1.5
355,Lagos,91,NG,1562532610,87,6.46,3.39,24.76,5.24
356,Hirara,100,JP,1562532676,85,24.8,125.28,28.88,5.57
357,Kawalu,95,ID,1562532676,98,-7.38,108.21,20,1.47
358,Miraflores,0,PE,1562532677,10,-16.39,-71.52,22,4.6
359,Lukuledi,32,TZ,1562532677,91,-10.57,38.8,18.5,1.74
360,Kalmunai,12,LK,1562532677,76,7.42,81.82,23.9,1.03
361,Vardo,40,US,1562532677,62,39.62,-77.74,30.56,1.5
362,Tsumeb,0,NA,1562532677,12,-19.25,17.72,13.78,2.17
363,Khonsa,100,IN,1562532678,99,26.99,95.51,21.17,0.49
364,Miramar,40,CR,1562532678,51,10.09,-84.73,29,2.6
365,Tevaitoa,34,PF,1562532678,86,-16.78,-151.5,25.46,5.88
366,Ilulissat,20,GL,1562532678,43,69.22,-51.1,13,2.1
367,Sept-Iles,75,CA,1562532554,28,50.2,-66.38,23,6.7
368,Batagay,84,RU,1562532679,49,67.65,134.64,18.52,1
369,Padang,60,ID,1562532679,80,-0.92,100.36,27.03,3.18
370,Talnakh,20,RU,1562532679,87,69.49,88.39,8,11
371,Kachiry,19,KZ,1562532679,66,53.07,76.1,16.24,2.5
372,Coihaique,40,CL,1562532676,87,-45.58,-72.07,6,1
373,Belaya Gora,0,RU,1562532680,58,68.54,146.19,16.1,0.96
374,Ajdabiya,0,LY,1562532680,84,30.75,20.22,25.25,6.31
375,Pringsewu,59,ID,1562532680,96,-5.36,104.98,21.19,1.19
376,Lompoc,87,US,1562532491,60,34.64,-120.46,23.33,4.6
377,Riyadh,0,SA,1562532559,8,24.63,46.72,38,1
378,Aswan,0,EG,1562532680,15,24.09,32.9,34,2.1
379,Henties Bay,0,NA,1562532681,93,-22.12,14.28,12.78,3.79
